"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Dimi Papadatos",5600,"Golf@Golf 01:30AM ET",41.688,"Golf"
"G","Joshua White",5600,"Golf@Golf 01:30AM ET",35.750,"Golf"
"G","Joachim B. Hansen",5600,"Golf@Golf 01:30AM ET",26.643,"Golf"
"G","Laurie Canter",5600,"Golf@Golf 01:30AM ET",33.611,"Golf"
"G","Himmat Rai",5600,"Golf@Golf 01:30AM ET",44.700,"Golf"
"G","Morten Orum Madsen",5600,"Golf@Golf 01:30AM ET",32.167,"Golf"
"G","Cesar Costilla",5600,"Golf@Golf 01:30AM ET",9.500,"Golf"
"G","Mads Sogaard",5600,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Scott Arnold",5500,"Golf@Golf 01:30AM ET",37.667,"Golf"
"G","Matthew Guyatt",5500,"Golf@Golf 01:30AM ET",59.000,"Golf"
"G","Clemens Gaster",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Florian Praegant",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Daniel Schlauer",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Maximilian Steinlechner",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Ales Korinek",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Moritz Mayrhauser",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Michael Ludwig",5500,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Nicolo Ravano",5400,"Golf@Golf 01:30AM ET",27.500,"Golf"
"G","James Robinson",5400,"Golf@Golf 01:30AM ET",29.611,"Golf"
"G","Lukas Nemecz",5400,"Golf@Golf 01:30AM ET",29.188,"Golf"
"G","James Allan",5400,"Golf@Golf 01:30AM ET",69.500,"Golf"
"G","Bernard Neumayer",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","HP Bacher",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Eugen Furnweger",5400,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Darryn Lloyd",5300,"Golf@Golf 01:30AM ET",30.000,"Golf"
"G","Jin Jeong",5300,"Golf@Golf 01:30AM ET",15.500,"Golf"
"G","Petr Dedek",5300,"Golf@Golf 01:30AM ET",15.000,"Golf"
"G","Berni Reiter",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Timon Baltl",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Petr Gal",5300,"Golf@Golf 01:30AM ET",0,"Golf"
"G","Rene Gruber",5300,"Golf@Golf 01:30AM ET",0,"Golf"
