"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","R.A. Dickey",6300,"Bos@Tor 07:07PM ET",11.682,"Tor"
"SP","Anibal Sanchez",6300,"Det@Oak 10:05PM ET",10.455,"Det"
"SP","Jason Vargas",6300,"CWS@KC 08:15PM ET",0,"KC"
"SP","Burch Smith",6300,"NYY@TB 07:10PM ET",0,"TB"
"SP","Erasmo Ramirez",6300,"NYY@TB 07:10PM ET",6.434,"TB"
"SP","Jameson Taillon",6300,"Pit@Tex 08:05PM ET",0,"Pit"
"SP","Matt Harvey",6200,"LAD@NYM 07:10PM ET",9.340,"NYM"
"SP","Robbie Erlin",6200,"SD@Ari 09:40PM ET",14.083,"SD"
"SP","Adam Wainwright",6100,"StL@Was 07:05PM ET",8.715,"StL"
"SP","Sean O'Sullivan",6100,"Bos@Tor 07:07PM ET",3.633,"Bos"
"SP","Matt Moore",6100,"NYY@TB 07:10PM ET",12.128,"TB"
"SP","Manny Banuelos",6100,"Mia@Atl 07:35PM ET",0,"Atl"
"SP","Matt Shoemaker",6100,"Hou@LAA 10:05PM ET",8.556,"LAA"
"SP","Marcus Stroman",6100,"Bos@Tor 07:07PM ET",15.820,"Tor"
"SP","Roenis Elias",6100,"Bos@Tor 07:07PM ET",-3.850,"Bos"
"SP","Andrew Cashner",6000,"SD@Ari 09:40PM ET",9.538,"SD"
"SP","Brandon Workman",6000,"Bos@Tor 07:07PM ET",0,"Bos"
"SP","Martin Perez",6000,"Pit@Tex 08:05PM ET",12.655,"Tex"
"SP","Nick Kingham",6000,"Pit@Tex 08:05PM ET",0,"Pit"
"SP","Erik Johnson",6000,"CWS@KC 08:15PM ET",9.125,"CWS"
"SP","Chris Bassitt",6000,"Det@Oak 10:05PM ET",8.320,"Oak"
"SP","Zach Davies",6000,"Cin@Mil 08:10PM ET",7.743,"Mil"
"RP","Matt Boyd",6000,"Det@Oak 10:05PM ET",11.500,"Det"
"SP","J.A. Happ",5900,"Bos@Tor 07:07PM ET",16.010,"Tor"
"SP","Miguel Gonzalez",5900,"CWS@KC 08:15PM ET",10.638,"CWS"
"RP","Jarlin Garcia",5900,"Mia@Atl 07:35PM ET",0,"Mia"
"SP","Kyle Kendrick",5800,"Hou@LAA 10:05PM ET",0,"LAA"
"SP","Matt Garza",5800,"Cin@Mil 08:10PM ET",0,"Mil"
"SP","Shelby Miller",5800,"SD@Ari 09:40PM ET",3.923,"Ari"
"SP","Williams Perez",5800,"Mia@Atl 07:35PM ET",10.450,"Atl"
"SP","Jon Moscot",5800,"Cin@Mil 08:10PM ET",6.483,"Cin"
"SP","Ross Stripling",5800,"LAD@NYM 07:10PM ET",10.550,"LAD"
"SP","Kyle Zimmer",5800,"CWS@KC 08:15PM ET",0,"KC"
"SP","John Danks",5700,"CWS@KC 08:15PM ET",5.713,"CWS"
"SP","Doug Fister",5700,"Hou@LAA 10:05PM ET",11.889,"Hou"
"SP","Kris Medlen",5700,"CWS@KC 08:15PM ET",3.792,"KC"
"RP","David Phelps",5700,"Mia@Atl 07:35PM ET",4.881,"Mia"
"SP","Henderson Alvarez",5700,"Det@Oak 10:05PM ET",0,"Oak"
"SP","Drew Hutchison",5700,"Bos@Tor 07:07PM ET",18.550,"Tor"
"SP","Mike Foltynewicz",5700,"Mia@Atl 07:35PM ET",13.340,"Atl"
