"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16721-9124","C","Ryan","O'Reilly","18.575000762939453","4","6100","BUF@PHI","BUF","PHI","","","",""
"16721-14056","W","Cam","Atkinson","11.375","4","6100","CLS@LA","CLS","LA","","","",""
"16721-8698","W","Daniel","Sedin","11.366666158040365","6","6100","OTT@VAN","VAN","OTT","","","",""
"16721-8406","D","Drew","Doughty","12.1","5","6000","CLS@LA","LA","CLS","","","",""
"16721-8741","C","Nazem","Kadri","10.11999969482422","5","5900","TB@TOR","TOR","TB","","","",""
"16721-21523","W","Alex","Killorn","15.239999389648437","5","5900","TB@TOR","TB","TOR","","","",""
"16721-8258","W","Patrick","Sharp","7.199999809265137","4","5900","WPG@DAL","DAL","WPG","IR","Concussion","",""
"16721-13612","C","Tyler","Johnson","6.659999847412109","5","5900","TB@TOR","TB","TOR","","","",""
"16721-8651","D","Alex","Pietrangelo","12.383333841959635","6","5900","CGY@STL","STL","CGY","","","",""
"16721-8643","C","David","Backes","13.219999694824219","5","5900","MIN@BOS","BOS","MIN","","","",""
"16721-54521","D","Shayne","Gostisbehere","15.61999969482422","5","5800","BUF@PHI","PHI","BUF","","","",""
"16721-12628","W","Mark","Stone","11.04000015258789","5","5800","OTT@VAN","OTT","VAN","","","",""
"16721-14561","W","Jaromir","Jagr","10.6","5","5800","FLA@PIT","FLA","PIT","","","",""
"16721-42417","W","Jonathan","Drouin","13.8","5","5700","TB@TOR","TB","TOR","","","",""
"16721-15315","W","Ondrej","Palat","10.919999694824218","5","5600","TB@TOR","TB","TOR","","","",""
"16721-14178","D","Justin","Faulk","15.019999694824218","5","5600","CAR@DET","CAR","DET","","","",""
"16721-8274","C","Paul","Stastny","15.133333841959635","6","5600","CGY@STL","STL","CGY","","","",""
"16721-8294","C","Derick","Brassard","9.44000015258789","5","5600","OTT@VAN","OTT","VAN","","","",""
"16721-9259","W","Mike","Hoffman","12.259999847412109","5","5600","OTT@VAN","OTT","VAN","","","",""
"16721-15251","W","Boone","Jenner","7.599999904632568","4","5500","CLS@LA","CLS","LA","","","",""
"16721-21648","D","Torey","Krug","6.719999694824219","5","5500","MIN@BOS","BOS","MIN","","","",""
"16721-13982","W","Gustav","Nyquist","14.883333841959635","6","5500","CAR@DET","DET","CAR","","","",""
"16721-12624","W","Tyler","Toffoli","11.140000152587891","5","5500","CLS@LA","LA","CLS","","","",""
"16721-8241","W","Jussi","Jokinen","6.400000095367432","4","5500","FLA@PIT","FLA","PIT","DTD","Knee","",""
"16721-8438","W","Michael","Cammalleri","7.1400001525878904","5","5500","ARI@NJ","NJ","ARI","","","",""
"16721-11365","D","Kevin","Shattenkirk","11.133333841959635","6","5500","CGY@STL","STL","CGY","","","",""
"16721-8575","C","Martin","Hanzal","9.44000015258789","5","5500","ARI@NJ","ARI","NJ","","","",""
"16721-14474","D","Sami","Vatanen","12.833333333333334","6","5500","ANH@SJ","ANH","SJ","","","",""
"16721-15356","D","Dougie","Hamilton","6.400000254313151","6","5400","CGY@STL","CGY","STL","","","",""
"16721-9189","C","Mikael","Backlund","11.616666158040365","6","5400","CGY@STL","CGY","STL","","","",""
"16721-12644","W","Kyle","Palmieri","10.759999847412109","5","5400","ARI@NJ","NJ","ARI","","","",""
"16721-8176","C","David","Krejci","6.5","5","5400","MIN@BOS","BOS","MIN","","","",""
"16721-9266","W","Brayden","Schenn","2.4000000953674316","2","5400","BUF@PHI","PHI","BUF","","","",""
"16721-8466","D","Ryan","Suter","11.683333079020182","6","5400","MIN@BOS","MIN","BOS","","","",""
"16721-8596","C","Jordan","Staal","7.680000305175781","5","5400","CAR@DET","CAR","DET","","","",""
"16721-40036","W","Tomas","Hertl","9.333333333333334","6","5300","ANH@SJ","SJ","ANH","","","",""
"16721-39249","C","Nick","Bjugstad","9.81940334946362","67","5300","FLA@PIT","FLA","PIT","IR","Hand","",""
"16721-8335","C","Henrik","Zetterberg","6.299999872843425","6","5300","CAR@DET","DET","CAR","","","",""
"16721-39870","W","Tanner","Pearson","24.166666666666668","3","5300","CLS@LA","LA","CLS","","","",""
"16721-14473","W","Jakob","Silfverberg","6.133333206176758","6","5300","ANH@SJ","ANH","SJ","","","",""
"16721-8578","W","Shane","Doan","10.6","5","5300","ARI@NJ","ARI","NJ","","","",""
"16721-8614","C","Joe","Thornton","7.900000254313151","6","5300","ANH@SJ","SJ","ANH","","","",""
"16721-8726","D","Mike","Green","16.03333282470703","6","5200","CAR@DET","DET","CAR","","","",""
"16721-59218","W","David","Pastrnak","21.860000610351562","5","5200","MIN@BOS","BOS","MIN","","","",""
"16721-9077","C","Kyle","Turris","13.280000305175781","5","5200","OTT@VAN","OTT","VAN","","","",""
"16721-41592","W","Max","Domi","8.95999984741211","5","5200","ARI@NJ","ARI","NJ","","","",""
"16721-21689","W","Reilly","Smith","5.759999847412109","5","5200","FLA@PIT","FLA","PIT","","","",""
"16721-8162","C","Bryan","Little","9.600000381469727","1","5200","WPG@DAL","WPG","DAL","O","Lower body","",""
"16721-9293","W","Troy","Brouwer","11.40000025431315","6","5200","CGY@STL","CGY","STL","","","",""
"16721-8234","C","Eric","Staal","11.59999974568685","6","5200","MIN@BOS","MIN","BOS","","","",""
"16721-8414","C","Mikko","Koivu","10.34999974568685","6","5200","MIN@BOS","MIN","BOS","","","",""
"16721-59276","W","William","Nylander","21.039999389648436","5","5100","TB@TOR","TOR","TB","","","",""
"16721-15247","C","Victor","Rask","16.68000030517578","5","5100","CAR@DET","CAR","DET","","","",""
"16721-15287","C","Jean-Gabriel","Pageau","7.3599998474121096","5","5100","OTT@VAN","OTT","VAN","","","",""
"16721-8932","W","Zack","Smith","9.680000305175781","5","5100","OTT@VAN","OTT","VAN","","","",""
"16721-9079","D","Keith","Yandle","6.719999694824219","5","5100","FLA@PIT","FLA","PIT","","","",""
"16721-8138","W","Bobby","Ryan","10.980000305175782","5","5100","OTT@VAN","OTT","VAN","","","",""
"16721-8322","W","Loui","Eriksson","7.616666793823242","6","5100","OTT@VAN","VAN","OTT","","","",""
"16721-21122","C","Jaden","Schwartz","9.600000381469727","2","5100","CGY@STL","STL","CGY","","","",""
"16721-8539","W","Nick","Foligno","11.774999618530273","4","5100","CLS@LA","CLS","LA","","","",""
"16721-8497","C","Frans","Nielsen","8.033333460489908","6","5100","CAR@DET","DET","CAR","","","",""
"16721-62788","W","Dylan","Larkin","6.666666666666667","6","5100","CAR@DET","DET","CAR","","","",""
"16721-15308","C","Sean","Couturier","12.319999694824219","5","5000","BUF@PHI","PHI","BUF","","","",""
"16721-8833","W","P.A.","Parenteau","9.919999694824218","5","5000","ARI@NJ","NJ","ARI","","","",""
"16721-55607","D","Aaron","Ekblad","9.859999847412109","5","5000","FLA@PIT","FLA","PIT","","","",""
"16721-8202","W","Jason","Pominville","6.799999872843425","6","5000","MIN@BOS","MIN","BOS","","","",""
"16721-8522","W","Marian","Gaborik","8.896296183268229","54","5000","CLS@LA","LA","CLS","IR","Foot","",""
"16721-70900","W","Patrik","Laine","16.519999694824218","5","5000","WPG@DAL","WPG","DAL","","","",""
"16721-14457","D","John","Klingberg","8.2","5","5000","WPG@DAL","DAL","WPG","","","",""
"16721-8640","W","David","Perron","11.949999491373697","6","5000","CGY@STL","STL","CGY","","","",""
"16721-8694","C","Henrik","Sedin","11.766666412353516","6","5000","OTT@VAN","VAN","OTT","","","",""
"16721-8619","W","Patrick","Marleau","9.416666666666666","6","5000","ANH@SJ","SJ","ANH","","","",""
"16721-55375","C","Sam","Reinhart","7.724999904632568","4","4900","BUF@PHI","BUF","PHI","","","",""
"16721-42993","D","Rasmus","Ristolainen","16.899999618530273","4","4900","BUF@PHI","BUF","PHI","","","",""
"16721-58907","W","Nikolaj","Ehlers","7.619999694824219","5","4900","WPG@DAL","WPG","DAL","","","",""
"16721-8169","D","Zach","Bogosian","4.800000190734863","4","4900","BUF@PHI","BUF","PHI","","","",""
"16721-8187","D","Dennis","Wideman","16.433333079020183","3","4900","CGY@STL","CGY","STL","","","",""
"16721-8198","W","Thomas","Vanek","14.866666158040365","6","4900","CAR@DET","DET","CAR","","","",""
"16721-15269","C","Rickard","Rakell","10.380555894639757","72","4800","ANH@SJ","ANH","SJ","O","Personal","",""
"16721-11204","D","Jake","Muzzin","5.1200000762939455","5","4800","CLS@LA","LA","CLS","","","",""
"16721-9321","W","Tomas","Tatar","9.016666412353516","6","4800","CAR@DET","DET","CAR","","","",""
"16721-41394","D","Seth","Jones","12.199999809265137","4","4800","CLS@LA","CLS","LA","","","",""
"16721-16969","W","Charlie","Coyle","12.083333333333334","6","4800","MIN@BOS","MIN","BOS","","","",""
