"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16711-6724","K","Stephen","Hauschka","8.333333333333334","6","4800","SEA@NO","SEA","NO","","","",""
"16711-29780","TE","Zach","Ertz","4.650000095367432","4","4800","PHI@DAL","PHI","DAL","","","",""
"16711-38269","RB","Cameron","Artis-Payne","9.333333333333334","3","4700","ARI@CAR","CAR","ARI","","","",""
"16711-29357","RB","Kenjon","Barner","3.799999952316284","4","4700","PHI@DAL","PHI","DAL","","","",""
"16711-28486","WR","Corey","Brown","5.033333460489909","6","4700","ARI@CAR","CAR","ARI","","","",""
"16711-14952","K","Dan","Bailey","9.5","6","4700","PHI@DAL","DAL","PHI","","","",""
"16711-11419","RB","C.J.","Spiller","6.849999904632568","2","4700","SEA@NO","SEA","NO","","","",""
"16711-12544","D","New York","Jets","4.714285714285714","7","4700","NYJ@CLE","NYJ","CLE","","","",""
"16711-10744","K","Graham","Gano","8","6","4700","ARI@CAR","CAR","ARI","","","",""
"16711-28157","WR","Bennie","Fowler","3.450000047683716","4","4700","SD@DEN","DEN","SD","","","",""
"16711-6642","K","Nick","Folk","7","7","4600","NYJ@CLE","NYJ","CLE","","","",""
"16711-54753","WR","Taylor","Gabriel","3.674999952316284","4","4600","GB@ATL","ATL","GB","Q","Concussion","",""
"16711-30261","K","Caleb","Sturgis","10.166666666666666","6","4600","PHI@DAL","PHI","DAL","","","",""
"16711-70372","WR","Chester","Rogers","3.5166667302449546","6","4600","KC@IND","IND","KC","","","",""
"16711-25775","TE","Clive","Walford","4.916666666666667","6","4600","OAK@TB","OAK","TB","","","",""
"16711-8117","WR","Danny","Amendola","4.642857142857143","7","4600","NE@BUF","NE","BUF","","","",""
"16711-12546","D","Arizona","Cardinals","11","7","4600","ARI@CAR","ARI","CAR","","","",""
"16711-33714","K","Cairo","Santos","8.666666666666666","6","4600","KC@IND","KC","IND","","","",""
"16711-16923","TE","Austin","Seferian-Jenkins","4.866666793823242","3","4600","NYJ@CLE","NYJ","CLE","Q","Ankle","",""
"16711-22258","RB","Travaris","Cadet","4.100000063578288","6","4600","SEA@NO","NO","SEA","","","",""
"16711-6897","K","Mason","Crosby","9","6","4600","GB@ATL","GB","ATL","","","",""
"16711-26094","WR","Brandon","Coleman","5.020000076293945","5","4600","SEA@NO","NO","SEA","","","",""
"16711-12530","D","Dallas","Cowboys","5.666666666666667","6","4600","PHI@DAL","DAL","PHI","","","",""
"16711-22113","RB","Alfred","Morris","4.283333460489909","6","4600","PHI@DAL","DAL","PHI","","","",""
"16711-28095","RB","Thomas","Rawls","4.800000190734863","2","4600","SEA@NO","SEA","NO","O","Lower leg","",""
"16711-33472","RB","C.J.","Prosise","2.1500000953674316","2","4600","SEA@NO","SEA","NO","","","",""
"16711-29655","RB","Soma","Vainuku","0","0","4500","DET@HOU","HOU","DET","","","",""
"16711-22010","WR","DeVier","Posey","0","0","4500","SD@DEN","DEN","SD","","","",""
"16711-6566","RB","Chris","Johnson","3.875","4","4500","ARI@CAR","ARI","CAR","IR","Groin","",""
"16711-70423","TE","Anthony","Norris","0","0","4500","SD@DEN","DEN","SD","","","",""
"16711-33037","WR","Kenbrell","Thompkins","4.166666666666667","6","4500","NYJ@CLE","NYJ","CLE","","","",""
"16711-47861","TE","Mitchell","Henry","0","2","4500","GB@ATL","GB","ATL","","","",""
"16711-26251","WR","Robby","Anderson","4.220000076293945","5","4500","NYJ@CLE","NYJ","CLE","","","",""
"16711-32551","WR","Kolby","Listenbee","0","0","4500","NE@BUF","BUF","NE","O","Pelvis","",""
"16711-64104","RB","Terrell","Watson","0","0","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-45683","RB","Kapri","Bibbs","1.0666666825612385","3","4500","SD@DEN","DEN","SD","","","",""
"16711-70457","TE","Cole","Wick","0.9333333174387614","3","4500","DET@HOU","DET","HOU","","","",""
"16711-34154","WR","J.J.","Nelson","3.9400001525878907","5","4500","ARI@CAR","ARI","CAR","","","",""
"16711-30678","WR","Damiere","Byrd","0","0","4500","ARI@CAR","CAR","ARI","","","",""
"16711-40126","TE","Austin","Hooper","6.099999904632568","4","4500","GB@ATL","ATL","GB","","","",""
"16711-39153","TE","Ifeanyi","Momah","3","2","4500","ARI@CAR","ARI","CAR","","","",""
"16711-30684","RB","Brandon","Wilds","0","0","4500","NYJ@CLE","NYJ","CLE","","","",""
"16711-34073","TE","Ryan","Griffin","4.366666793823242","6","4500","DET@HOU","HOU","DET","","","",""
"16711-27199","RB","Marcus","Murphy","0","1","4500","SEA@NO","NO","SEA","","","",""
"16711-6653","RB","Jerome","Felton","0.3599999904632568","5","4500","NE@BUF","BUF","NE","","","",""
"16711-34051","WR","Deshon","Foxx","0","0","4500","SEA@NO","SEA","NO","","","",""
"16711-22898","RB","Brandon","Bolden","0.9666666984558105","3","4500","NE@BUF","NE","BUF","","","",""
"16711-29583","TE","Randall","Telfer","0","1","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-43961","RB","Tyler","Ervin","0.033333333830038704","6","4500","DET@HOU","HOU","DET","","","",""
"16711-25225","WR","Quinshad","Davis","0","0","4500","DET@HOU","DET","HOU","","","",""
"16711-29624","RB","Tre","Madden","0","0","4500","SEA@NO","SEA","NO","IR","Undisclosed","",""
"16711-70506","TE","Ryan","O'Malley","0","0","4500","OAK@TB","OAK","TB","","","",""
"16711-33137","WR","Justin","Hardy","3.9166666666666665","6","4500","GB@ATL","ATL","GB","","","",""
"16711-6622","WR","Eric","Weems","0","7","4500","GB@ATL","ATL","GB","","","",""
"16711-72676","RB","Troymaine","Pope","0.10000000149011612","1","4500","NYJ@CLE","NYJ","CLE","","","",""
"16711-31703","RB","Malcolm","Johnson","1.0199999809265137","5","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-45791","WR","Rashard","Higgins","0.9600000381469727","5","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-14268","RB","Stevan","Ridley","1.350000023841858","8","4500","KC@IND","IND","KC","","","",""
"16711-34288","WR","Rannell","Hall","0","1","4500","NYJ@CLE","CLE","NYJ","IR","Leg","",""
"16711-45809","TE","Kivon","Cartwright","0","0","4500","OAK@TB","TB","OAK","","","",""
"16711-29540","RB","Terron","Ward","2.7299999237060546","10","4500","GB@ATL","ATL","GB","","","",""
"16711-45821","WR","Isaiah","Burse","0","0","4500","SD@DEN","SD","DEN","","","",""
"16711-23023","TE","Cooper","Helfet","2.7857142857142856","7","4500","OAK@TB","OAK","TB","","","",""
"16711-14297","WR","Greg","Salas","8.449999809265137","2","4500","NE@BUF","BUF","NE","IR","Groin","",""
"16711-28408","WR","Kyle","Prater","0","0","4500","SEA@NO","NO","SEA","","","",""
"16711-25135","WR","Marcus","Leak","0","0","4500","KC@IND","IND","KC","","","",""
"16711-14277","WR","Vincent","Brown","2.700000047683716","1","4500","SEA@NO","NO","SEA","","","",""
"16711-43826","WR","Tommylee","Lewis","2.3","5","4500","SEA@NO","NO","SEA","","","",""
"16711-14327","RB","Anthony","Sherman","0.4333333174387614","3","4500","KC@IND","KC","IND","","","",""
"16711-22991","RB","Jonathan","Grimes","3.25","2","4500","DET@HOU","HOU","DET","NA","Ankle","",""
"16711-34224","TE","Kennard","Backman","0","7","4500","GB@ATL","GB","ATL","","","",""
"16711-14307","WR","Cecil","Shorts III","1.7000000476837158","1","4500","OAK@TB","TB","OAK","","","",""
"16711-14304","TE","Luke","Stocker","2.075000047683716","8","4500","OAK@TB","TB","OAK","","","",""
"16711-27273","RB","Andy","Janovich","3.1500000953674316","4","4500","SD@DEN","DEN","SD","","","",""
"16711-14305","RB","Roy","Helu Jr.","2.737499952316284","8","4500","OAK@TB","OAK","TB","","","",""
"16711-29477","TE","Connor","Hamlett","8.199999809265137","1","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-14319","RB","Taiwan","Jones","0.6333333253860474","3","4500","OAK@TB","OAK","TB","Q","Knee","",""
"16711-6488","WR","Dwayne","Bowe","1.1142857415335519","7","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-32287","WR","Cayleb","Jones","0","0","4500","PHI@DAL","PHI","DAL","","","",""
"16711-12872","RB","James","Develin","0","0","4500","NE@BUF","NE","BUF","","","",""
"16711-38264","WR","Demarcus","Robinson","0","0","4500","KC@IND","KC","IND","","","",""
"16711-31321","RB","Jay","Prosch","0.6499999761581421","2","4500","DET@HOU","HOU","DET","","","",""
"16711-29404","RB","Byron","Marshall","0","0","4500","PHI@DAL","PHI","DAL","","","",""
"16711-31308","WR","Quan","Bray","0.9666666984558105","6","4500","KC@IND","IND","KC","IR","Ankle","",""
"16711-12903","WR","Andrew","Hawkins","4.828571319580078","7","4500","NYJ@CLE","CLE","NYJ","","","",""
"16711-39305","TE","A.J.","Derby","0","0","4500","NE@BUF","NE","BUF","","","",""
